Level,Message
Medium,Message removed because it contains renderlistdataasstream. Please see aka.ms\ULSSanitizer for details.
Medium,This is not a go local tenant. Returning default authorization uri.
Medium,SPOAuthNativeFlowHandler: No feature version header present.
Medium,SPOAuthNativeFlowHandler: Current client request CommonURI in Authorization End Point.
Medium,"SPOAuthHttpChallenge: Client doesn't support TenantURI, returning CommonURI in Authorization End Point."
High,SPOAuthHttpChallenge: Returning null for CookieEndPointUri.
Medium,"SPOAuthHttpChallenge: Setting WWW-Authenticate header to:<name>Bearer realm=""049e3382-8cdc-477b-9317-951b04689668"",client_id=""00000003-0000-0ff1-ce00-000000000000"",trusted_issuers=""00000001-0000-0000-c000-000000000000@*,D3776938-3DBA-481F-A652-4BEDFCAB7CD8@*,https://sts.windows.net/*/,https://login.microsoftonline.com/*/v2.0,00000003-0000-0ff1-ce00-000000000000@90140122-8516-11e1-8eff-49304924019b"",authorization_uri=""https://login.microsoftonline.com/common/oauth2/authorize""</name><scrubbed>"
Medium,SPOAuthHttpChallenge: Adding OAuth WWW-Authenticate challenge and clearing others.
Medium,Returning SPWeb is null: 'False'
Medium,"Getting 'OfficeClientADALDisabled' property from site subscription settings, Value: 'False'. Web Id: '999e55ee-f45e-40fb-9609-75e46483f882', Site Id: 'c45a015b-4830-44ba-a5bf-edfa6d89241b'."
Medium,"includeResponseStatsHeader is FALSE. UserAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
Medium,"Sending response headers to client [s=401,ct=application/json;odata=verbose;charset=utf-8]"
Medium,"SPRequestModule.ErrorAppHandler begin processing exception System.Web.HttpException (0x80004005): Cannot redirect after HTTP headers have been sent.
   at System.Web.HttpResponse.Redirect(String url, Boolean endResponse, Boolean permanent)
   at System.Web.Security.FormsAuthenticationModule.OnLeave(Object source, EventArgs eventArgs)
   at System.Web.HttpApplication.SyncEventExecutionStep.System.Web.HttpApplication.IExecutionStep.Execute()
   at System.Web.HttpApplication.ExecuteStepImpl(IExecutionStep step)
   at System.Web.HttpApplication.ExecuteStep(IExecutionStep step, Boolean& completedSynchronously)"
Medium,Message removed because it contains renderlistdataasstream. Please see aka.ms\ULSSanitizer for details.
Medium,Sending WWW-Authenticate header with response. Bearer
Medium,Message removed because it contains renderlistdataasstream. Please see aka.ms\ULSSanitizer for details.
Medium,"Final: FileOperationType = [RenderListDataAsStream], OperationId = [SPRequest_REST_Unknown], ComponentId = [REST]"
Medium,"Leaving Monitored Scope: (Name=RecordTimelineTrace [RenderListDataAsStream, Events=138];StaticScopeId=6id5v) Execution Time=0.68; CPU Milliseconds=0; Managed Bytes=115232; SQL Query Count=0; GCPauseMS=0; AllocBytes=116176;; Parent=None"
High,There are no tasks to execute asynchronously.
